"laouti"	"kiveri beach"
"east to the north zhongshan road"	"no 768 qingyang road east to the north zhongshan r"
"caminho horta das sesmarias"	"caminho horta das sesmarias"
"boath house"	"boath house"
"via freud 8"	"via freud 8"
"calle mariscal 1"	"calle mariscal 1"
"prince faisal bin fahad street"	"2978 jafar al makki al aziziyah"
"prince faisal bin fahad street"	"abdullah al qasabi"
"al hafair district"	"abdullah al qasabi"
"37 rua do bom sucesso"	"rua dos monges beneditinos 158"
"rua dos monges beneditinos 158"	"rua dos monges beneditinos 158"
"petersberg 18 2"	"petersberg 18 2"
"pfaffetschalg 36"	"petersberg 18 2"
"57 neubach"	"petersberg 18 2"
"oberaigenweg 1 3"	"petersberg 18 2"
"corso cairoli 5"	"corso cairoli 25"
"via benedetto cairoli 60"	"corso cairoli 25"
"golf villa 22 diamante boulevard"	"calle 12 esquina con 15 avenida"
"calle 2 norte s/n entre z.f.m."	"calle 12 esquina con 15 avenida"
"wilde paarde kloof"	"wilde paarde kloof"
"23 op die oewer street"	"wilde paarde kloof"
"rattray street"	"wilde paarde kloof"
"del mediterraneo 2 1"	"carrer mariano sala 2"
"7 boulevard de la teignouse"	"7 boulevard de la teignouse"
"207 south 12th street"	"207 south 12th street"
"4105 harvest moon lane"	"207 south 12th street"
"2909 vineyards parkway 6"	"207 south 12th street"
"1450 n sam houston pkwy e"	"207 south 12th street"
"41 jfk pkwy"	"207 south 12th street"
"1560 nassau point trial"	"207 south 12th street"
"sv. martin 47"	"sv. martin 47"
"calle 18 # 09 07"	"calle 18 # 09 07"
"lepetane"	"lepetane"
"plot 982 jt useni close gudu district"	"plot 982 jt useni close gudu district"
"ul. theodorea roosevelta 54"	"kontrada ulica 30"
"65 balingup nannup rd"	"new illawarra road and rutherford ave"
"new illawarra road and rutherford ave"	"new illawarra road and rutherford ave"
"lindau 25"	"lindau 7"
"7a/14 wea channa market"	"7a/14 wea channa market"
"16 lawson street"	"57 89 grafton street"
"silver sands estate duncans"	"6 brompton road apt 50"
"6 brompton road apt 41"	"6 brompton road apt 50"
"francisca rodriguez 174"	"calle 44 n entre la 5a ave y ave 10"
"calle 44 n entre la 5a ave y ave 10"	"calle 44 n entre la 5a ave y ave 10"
"hydra"	"imerovigli"
"elounda"	"imerovigli"
"lardos"	"imerovigli"
"kamari"	"kamari"
"falstone"	"falstone"
"creeksea place farm ferry road"	"falstone"
"dammstrasse 46"	"augustusplatz 1 3"
"goethestrasse 50 50a"	"augustusplatz 1 3"
"sonnscheidstrae 11"	"augustusplatz 1 3"
"kleine brudergasse 5"	"augustusplatz 1 3"
"augustusplatz 1 3"	"augustusplatz 1 3"
"sierockie 21b"	"sierockie 21b"
"goszczynskiego 25"	"sierockie 21b"
"romstrae 166"	"romstrae 166"
"stein 20"	"romstrae 166"
"petrothalassa nr. 3"	"hill 3 km from ermioni"
"ermioni"	"hill 3 km from ermioni"
"hill 3 km from ermioni"	"hill 3 km from ermioni"
"1 oceanview drive"	"6 maroomba road"
"5/15 srasong rd."	"5/15 srasong rd."
"51/59 thetsaban 1 rd pakpiew"	"651 bantungbor rd."
"262 white pine acres lane"	"262 white pine acres lane"
"31 33 derb jdid"	"31 33 derb jdid"
"oasis de fint"	"31 33 derb jdid"
"shield row"	"west bow 86"
"west bow 86"	"west bow 86"
"12011 front beach rd"	"2230 beach drive"
"2228 beach drive"	"2230 beach drive"
"calle manriquez 3"	"calle del gral. mola 2"
"aleksandrovskiy avenue 4"	"aleksandrovskiy avenue 4"
"prospekt shevchenka 28"	"aleksandrovskiy avenue 4"
"quartier bel air"	"55 route du golf quartier golf commune de lubumbas 55"
"55 route de golf quartier golf"	"55 route du golf quartier golf commune de lubumbas 55"
"39 robins rd"	"39 robins road"
"8 cron street"	"39 robins road"
"inonu cad. no. 57/a golturkbuku"	"turkbuku mah 144. sk."
"rua ildefonso albano 245 apto 203"	"rua ipe amarelo 112"
"rua ipe amarelo 112"	"rua ipe amarelo 112"
"rua ipe branco 30"	"rua ipe amarelo 112"
"loiblstrasse 14"	"laastadt 13"
"innerteuchen 45"	"laastadt 13"
"avenida jose franchy roca 6"	"calle tortola 4 1"
"via porto puddu"	"via porto puddu"
"via antonio rossi 16"	"via antonio rossi 16"
"aalener str. 48"	"aalener str. 48"
"neuselsbrunn 26"	"aalener str. 48"
"no.17 jalan kg bohor tempoyak"	"no.17 jalan kg bohor tempoyak"
"jl. merajapati no. 3"	"jl. merajapati no. 3"
"jalan bukit permai"	"jl. merajapati no. 3"
"jalan bunut sari no. 8 kuta"	"jl. merajapati no. 3"
"68a east street"	"68a east street"
"calle miguel villanueva 50"	"calle miguel villanueva 50"
"5 2 horikawamachi"	"510 udogoe chou"
"510 udogoe chou"	"510 udogoe chou"
"filatiou 7"	"road ano mera chora"
"gobia 5"	"22j rakowicka"
"dracice 53a"	"dracice 53a"
"5. kvetna"	"5. kvetna"
"28a njegoseva"	"28a njegoseva"
"kralja petra 60"	"28a njegoseva"
"avenida riera dalforja 6 1o 7o"	"avenida riera dalforja 6 1o 7o"
"plaza alfaro 4"	"avenida riera dalforja 6 1o 7o"
"calle magnolia"	"avenida riera dalforja 6 1o 7o"
"avenida riera dalforja 5 pb 1a"	"avenida riera dalforja 6 1o 7o"
"via vincenzo irelli 21"	"via cona 89 91"
"via massarenti 56"	"via valassina 97"
"435 vestre karmyveg"	"435 vestre karmyveg"
"ajyad"	"ajyad"
"station 2 barangay balabag boracay"	"station 2 barangay balabag boracay"
"station 2 brgy. balabag boracay island"	"station 2 barangay balabag boracay"
"jl. dewi saraswati iii/35"	"jl. dewi saraswati iii/35"
"lothians road"	"85 brighton drive"
"85 brighton drive"	"85 brighton drive"
"19/1 sridonchai rd. soi 2"	"19/1 sridonchai rd. soi 2"
"phratamnak road soi 6 nongprue"	"19/1 sridonchai rd. soi 2"
"kastro kyllinis ilia"	"acient olympia"
"22 ammos tou kambouri house 4"	"22 ammos tou kambouri house 4"
"kouriou 2 dhekelia rd"	"22 ammos tou kambouri house 4"
"1/4 merrion street lower"	"1/4 merrion street lower"
"plaza arriola 1"	"plaza arriola 1 3 2"
"bouake"	"route assinie village de mohame"
"route assinie village de mohame"	"route assinie village de mohame"
"estrada do guriri 2090"	"beco do chileno"
"beco do chileno"	"beco do chileno"
"holiday streetgauravaddo bardez"	"holiday street gauravaddo calangute"
"profitis elias cave greko avenue"	"tremithias 12 peyia 8560 paphos"
"1 12 ori ro 914beon gi"	"1 12 ori ro 914beon gi"
"27 jan marx street langenhoven"	"27 jan marx street langenhoven"
"agios prokopios"	"center of skiathos town agios nikolaos"
"1325 north timucuan trail"	"1325 north timucuan trail"
"4727 east connell lake drive"	"1325 north timucuan trail"
"7 martelarenplein"	"7 martelarenplein"
"via interzati"	"via interzati"
"24 alipur road civil lines"	"24 alipur road civil lines"
"calle dello squero 596"	"calle dello squero 597"
"205 2 unit 2 building 25 seasons park"	"704 peng xiang ge bldg 188 shahe e rd"
"704 peng xiang ge bldg 188 shahe e rd"	"704 peng xiang ge bldg 188 shahe e rd"
"11 el batal ahmed abd el aziz"	"al zahraa"
"al zahraa"	"al zahraa"
"nyholmsgata 11"	"nyholmsgata 11"
"monksilver"	"93 hucclecote road"
"avenue du large"	"avenue du large"
"no. 135 shanbian"	"no. 135 shanbian"
"no.5 gujing st."	"no. 135 shanbian"
"no. 115 luoshan"	"no. 115 luoshan"
"no. 766 section 1 zhonghua road"	"no. 115 luoshan"
"175 westgrove way"	"175 westgrove way"
"nr. bank of india mohan nagar link road"	"nr. bank of india mohan nagar link road"
"dhuri patiala bye pass road"	"nr. bank of india mohan nagar link road"
"sao bras do regedouro"	"sao bras do regedouro"
"estrada municipal 508"	"sao bras do regedouro"
"rua sobrado de baixo 170"	"sao bras do regedouro"
"san martino de candas"	"san martino de candas"
"casa rectoral de cobres"	"san martino de candas"
"piazza del gesu 23"	"via di montalbuccio 31"
"egremni road"	"egremni road"
"110/1 moo 6 baan tai"	"110/1 moo 6 baan tai"
"serena road"	"serena road"
"tsavo west national park"	"serena road"
"alpmatten 1d"	"alpmatten 1b"
"mosevej 60"	"torndalsvej 19"
"stubbegardsparken 90"	"torndalsvej 19"
"kissamou 112"	"kissamou 112"
"537 3 higashiyama"	"2695 2 nagara fukumitsu"
"1. gelisim bolgesi bursa uludag yolu"	"1. gelisim bolgesi bursa uludag yolu"
"inonu mahallesi no 28"	"1. gelisim bolgesi bursa uludag yolu"
"volfran yolu 2. gelisim oteller bolgesi"	"1. gelisim bolgesi bursa uludag yolu"
"san joaquin street bgy buena suerte"	"san joaquin street bgy buena suerte"
"untere gasse 13"	"untere gasse 13"
"9/9 chapman avenue"	"396 melbourne road"
"aviation way"	"aviation way"
"kalman imre street 16"	"kalman imre utca 16."
"42 avenue du port"	"42 avenue du port"
"sheraton road sakala"	"sheraton road sakala"
"andrauli jitpur"	"lakeside"
"al wadi al kabir"	"al wadi al kabir"
"48 stora gatan"	"48 stora gatan"
"agios gordios"	"agios gordios"
"49 acharnon str."	"agios gordios"
"floor 30 unit 27 jl. soekarno hatta 783"	"tower a 6fl #29 jl soekarno hatta no.783"
"fahrweg 7"	"fahrweg 7"
"yesilyurt"	"merkez mah. 1256 sk. no4"
"caprinov prilaz 21"	"caprinov prilaz 21"
"37 manger street"	"37 manger street"
"5 daleen street"	"corner of madiba dr and koorsboom st"
"bana jelacica 85"	"bana jelacica 85"
"516/20 patak road"	"392 18 19 sukhumvit soi 20 1 central business dist"
"100 ridge rd"	"100 ridge road"
"100 ridge rd"	"100 ridge road"
"48 west street"	"30 linhope street"
"g 66 kalkaji"	"g 66 kalkaji"
"calle lagunillas 55"	"calle lagunillas 55"
"calle bajada de san jeronimo 12"	"calle lagunillas 55"
"revaler strae 6"	"revaler strae 6"
"izbat tunsi"	"izbat tunsi"
"ambrosetti 445"	"ambrosetti 445"
"gobernador paz 1410"	"ambrosetti 445"
"calle 700 273"	"ambrosetti 445"
"carrer de la visitacio 3"	"carrer del doctor lluch 199 piso 1"
"calle francisco cubells 8"	"carrer del doctor lluch 199 piso 1"
"64 & 66 jalan pudu lama"	"64 & 66 jalan pudu lama"
"143/14 suriyapradit road tambon bangnak"	"143/14 suriyapradit road tambon bangnak"
"17 19 loi kroh rd."	"17 19 loi kroh rd."
"limni keriou"	"kapela vatos corfu"
"no. 55/1 jalan prima saujana 1/1a"	"82 jalan prima sg 3 prima seri gombak 82"
"20 adelaide street"	"3/2 4 brett road"
"6 ferntree avenue"	"3/2 4 brett road"
"shimokitai gun"	"885 sengokuhara hakonemachi ashigarashimogun"
"bundang gu"	"buk gu"
"buk gu"	"buk gu"
"quarter 781 g.r.a."	"1 akinsehinwa street"
"5 ibrahim taiwo avenue"	"1 akinsehinwa street"
"via balbi 29"	"via balbi 29"
"#32 seshadri road anand rao circle"	"#32 seshadri road anand rao circle"
"groglocknerstrae z 151"	"groglocknerstrae z 151"
"lindenweg 386"	"groglocknerstrae z 151"
"yengija village"	"yengija village"
"elchin charimov street"	"yengija village"
"camino de pedrique 2 6"	"camino de pedrique 2 6"
"plaza santo domingo el antiguo 2"	"camino de pedrique 2 6"
"carretera de abejuela km 2"	"camino de pedrique 2 6"
"avenue de st exupery"	"avenue de st exupery"
"45 rue de lara bleu"	"avenue de st exupery"
"9 marine parade"	"9 marine parade"
"2/4 kirwan close"	"9 marine parade"
"538 galle road"	"538 galle road colombo 03"
"1720 dian street barangay palanan"	"1720 dian street brgy.palanan 1720"
"foca mahallesi"	"foca mahallesi"
"10 2 namchun ro 5beon gil"	"1 jungjeong ro"
"via fabio filzi 3"	"via fabio filzi 3"
"neuastenberger str. 41"	"gerkenstein 29 m"
"fira"	"fira"
"imerovigli"	"fira"
"road jonianet"	"road jonianet"
"calle colada de sustancias s/n"	"calle colada de sustancias s/n"
"via euforbia"	"via euforbia"
"korithi"	"korithi"
"14 chilembwe road"	"p. o. box 14 mangochi 14"
"no.400 galle road"	"#45 janadhipathi mawatha colombo 01 45"
"45 janadhipathi mawatha"	"#45 janadhipathi mawatha colombo 01 45"
"2 26 5 kamioosaki"	"yutenji 2 15 7 meguro ku"
"yutenji 2 15 7 meguro ku"	"yutenji 2 15 7 meguro ku"
"south point"	"south point"
"road messaria airport"	"main street"
"gefira"	"main street"
"79 west center street"	"1872 edwin miller boulevard"
"1 madison st. corner aurora blvd"	"101 newport blvd"
"8 resort dr"	"101 newport blvd"
"150 newport boulevard"	"101 newport blvd"
"calle puente rosario"	"calle puente rosario"
"langevag"	"langevag"
"georgi benkovski 15"	"georgi benkovski 15"
"plot# 9430 off chilimbu road"	"plot# 9430 off chilimbu road"
"1 ulica andrije hebranga"	"1 ulica andrije hebranga"
"ul. nenada mataka"	"1 ulica andrije hebranga"
"ivo andria 44"	"1 ulica andrije hebranga"
"mociscak b.b."	"mociscak b.b."
"12 antrim road"	"12 antrim road"
"calle elias ramos 1"	"calle elias ramos 1"
"paseo jaume i 21"	"calle elias ramos 1"
"6a middleton street"	"6a middleton street"
"palm ridge royal westmoreland"	"palm ridge royal westmoreland"
"#10 ocean drive"	"palm ridge royal westmoreland"
"2552 hirano"	"2552 hirano"
"2 2 26 sakae naka ku"	"2552 hirano"
"av. gov. jose malcher 592"	"av. gov. jose malcher 592"
"jalan seririt singaraja"	"jalan seririt singaraja"
"senggigi batu bolong"	"jalan seririt singaraja"
"walther rathenau strasse 13"	"walther rathenau strasse 13"
"flomuhle 3"	"walther rathenau strasse 13"
"hauptstrae 22"	"walther rathenau strasse 13"
"marktplatz 11"	"walther rathenau strasse 13"
"gauitsch 20"	"gauitsch 20"
"klitvej 24 b"	"klitvej 24 b"
"agterspejlet 23"	"klitvej 24 b"
"gl. strandvej 21"	"klitvej 24 b"
"rockhill holiday park"	"rockhill holiday park"
"rockhill holiday park"	"rockhill holiday park"
"10 coastguard station tully more"	"rockhill holiday park"
"dingle courtyard cottages 1"	"rockhill holiday park"
"500 bay drive"	"500 bay drive"
"lime close"	"lime close"
"16 thames street"	"lime close"
"2897 f.b. harisson cor. cuneta ave."	"2897 f.b. harisson cor. cuneta ave."
"8 rat u thit 200 pee 1"	"8 rat u thit 200 pee 1"
"20/35 huahin soi 106 petchkasem road"	"8 rat u thit 200 pee 1"
"tepli bok 19"	"tepli bok 19"
"avenida beira mar 233"	"avenida beira mar 233"
"ul. widokowa 1 wicko"	"omin 50a 14 107 gierzwald near"
"omin 50a 14 107 gierzwald near"	"omin 50a 14 107 gierzwald near"
"kninice 79"	"kninice 79"
"labska 117"	"kninice 79"
"calle la plaza 6 1"	"porrua"
"amapas 326 int 401"	"calle tulipan no. 50 fracc."
"servidao nascente do rio vermelho 845"	"servidao nascente do rio vermelho 845"
"great harbour"	"great harbour"
"ponikvice 9"	"k.p.kresimira iv br.5"
"klinta bodars vag 8"	"klinta bodars vag 8"
"huttulammentie 8 b 15"	"huttulammentie 8 b 15"
"sivakkatie 1"	"huttulammentie 8 b 15"
"petsamontie 42"	"huttulammentie 8 b 15"
"kirjokansi 2a"	"huttulammentie 8 b 15"
"mantyharjuntie 61"	"huttulammentie 8 b 15"
"r. emilio leobet 1587"	"r. emilio leobet 1587"
"strada ristretti 7"	"strada ristretti 7"
"via liberta 102"	"strada ristretti 7"
"189/6 rat u thit 200 pee rd."	"189/6 rat u thit 200 pee rd."
"nara taling ngam road 39/1 39/6"	"nara taling ngam road 39/1 39/6"
"siam royal view house 102 moo 10"	"nara taling ngam road 39/1 39/6"
"429/1 beach rd"	"nara taling ngam road 39/1 39/6"
"hohenrode 1"	"hohenrode 1"
"the ridge west hastings tn37 7pp4"	"the ridge west hastings tn37 7pp4"
"the ridge west hastings tn37 7pp2"	"the ridge west hastings tn37 7pp4"
"52 aka"	"52 aka"
"3/22 vashant vihar"	"3/22 vashant vihar"
"lindenstrasse 4 6"	"klamrothstrasse 2"
"wegekaten 1"	"klamrothstrasse 2"
"ul. pilsudskiego 28a"	"pilsudskiego 28a"
"av. ruiz cortines 1802"	"av. ruiz cortines 1802"
"rua 15 de agosto"	"rua 15 de agosto"
"av. reforma #155 col. centro"	"av. reforma #155 col. centro"
"via montenegro 181"	"via montenegro 181"
"via don luigi sturzo"	"via montenegro 181"
"san agustinillo tonameca"	"paraguay 1117 esq. uruguay"
"sanktjohanserstrae 46"	"sanktjohanserstrae 46"
"block a 3rd floor chungking mansions"	"block a 3rd floor chungking mansions"
"b4 7/f"	"block a 3rd floor chungking mansions"
"medno 54"	"medno 54"
"46 manousou koundourou"	"46 manousou koundourou"
"no. 965 nanwan road"	"no. 965 nanwan road"
"137 penzance road"	"137 penzance road"
"75 kretzschmar street"	"137 penzance road"
"29 shishan road gucheng district"	"29 shishan road gucheng district"
"br 241 km 65 villa bom jardim"	"br 241 km 65 villa bom jardim"
"rua serra negra 366"	"br 241 km 65 villa bom jardim"
"av la voz de san justo y juan de garay"	"av la voz de san justo y juan de garay"
"pueyrredon 2665"	"av la voz de san justo y juan de garay"
"room 12016 fl 20 bldg. 5 dahuananmen"	"room 12016 fl 20 bldg. 5 dahuananmen"
"no.115 guomin 8th st"	"no.115 guomin 8th st"
"no.121 huacheng 8th st."	"no.115 guomin 8th st"
"no. 239 jianping 1st street"	"no.115 guomin 8th st"
"kiponda street"	"kiponda street stone town"
"ligona myradelia petras lesvou"	"ligona myradelia petras lesvou"
"20 avenida norte esq 14 bis"	"calle 6 nte bis. 281 centro"
"calle 12 corner with 20th ave"	"calle 6 nte bis. 281 centro"
"km 4.5 carretera tulum boca paila"	"calle 6 nte bis. 281 centro"
"20 avenida norte esq 14 bis"	"20 avenida norte esq 14 bis"
"francisca rodriguez 174"	"20 avenida norte esq 14 bis"
"20 avenida norte esq 14 bis"	"20 avenida norte esq 14 bis"
"calle hospital 155"	"rambla del raval 17 21"
"plot 4 buku road"	"plot 4 buku road"
"161 angle blvd rachidi blvd & av moulay"	"161 angle blvd rachidi blvd & av moulay"
"calla general acha no. 560"	"calla general acha no. 560"
"calle sol no 19"	"carretera san roman 59"
"janackovo nabrezi 31"	"65 sokolovska"
"bjorholmen 17"	"kolerod 181"
"fv 20"	"fv 20"
"no.43 pingdong avenue pidong community"	"no.4hailiu roadguicheng"
"no.4hailiu roadguicheng"	"no.4hailiu roadguicheng"
"12 xilamulun street"	"no.78 songshan street songshan district"
"no.35 shamian street liwan district"	"no.35 shamian street shamianguangzhou"
"no. 77 xinxing road"	"no. 77 xinxing road"
"no. 66 fengxing rd"	"no. 77 xinxing road"
"114 mannerheimintie"	"7 vuorenrinne"
"20 route de la giraudiere"	"65 avenue du passage des boeufs"
"491 rue de la digue"	"65 avenue du passage des boeufs"
"9 impasse larrabe"	"9 impasse larrabe"
"le coustalier"	"9 impasse larrabe"
"no.50 jhongjheng village"	"no.50 jhongjheng village"
"no.7 lane lane 87 zhongshan road"	"no.50 jhongjheng village"
"no.16 w. alishan"	"no.50 jhongjheng village"
"37a main north road"	"37a main north road"
"26 church st"	"37a main north road"
"gawler terrace"	"37a main north road"
"14 22 murray street 49 murray street"	"37a main north road"
"belcegiz mah."	"belcegiz mah."
"el parral 1"	"calle telleiro 28 3 a"
"4708 qushan road"	"no 4237 xinglong road linqu county"
"no.23 xinmei st. west central dist"	"no.314 shihjhong 1st rd"
"mizanoglu alibey sok. eski mah. no9"	"eski mh.mizanoglu alibey sk. 9"
"431 chickerell road"	"431 chickerell raod"
"no. 268 minsheng road east district"	"no. 268 minsheng road east district"
"79 changjiang road"	"79 changjiang road"
"no. 2 ningzhang road xiaoqiao dajie"	"79 changjiang road"
"no.36 east nanhuan road"	"no.36 east nanhuan road"
"no.52 nong 913 yaoai road jiangdong"	"no.36 east nanhuan road"
"no. 43 east meilan road"	"no.36 east nanhuan road"
"no.899 wushan street wuzhong district"	"no.36 east nanhuan road"
"no 2 pinghai road"	"126 taiyuan pingyang road"
"126 taiyuan pingyang road"	"126 taiyuan pingyang road"
"no.192 zhonghua road"	"126 taiyuan pingyang road"
"258 north heping road"	"cnr of haining rd & xinkong rd"
"no. 1 huanghe road"	"cnr of haining rd & xinkong rd"
"cnr of haining rd & xinkong rd"	"cnr of haining rd & xinkong rd"
"block a jingshuiwan qinyuan community"	"cnr of haining rd & xinkong rd"
"shenlongwan village"	"shenlongwan village"
"3200 black tea garden"	"shenlongwan village"
"ayaz ismayilov street 3"	"ayaz ismayilov 3"
"2 rue du village"	"25a rue du village"
"no.19 huangshan upper section"	"no.19 huangshan upper section"
"no. 4 erzu wenming village shuhe town"	"no.19 huangshan upper section"
"lot 181 teluk dalam besut"	"lot 136 gm19 kampung seberang genting"
"lot 438 kampung juara rompin"	"lot 136 gm19 kampung seberang genting"
"put pozara 11b"	"put pozara 11b"
"put pozara 11b"	"put pozara 11b"
"dracice 53a"	"dracice 53a"
"schlohofer str. 60"	"schlohofer str. 60"
"matice hrvatske 78"	"matice hrvatske 78"
"zelgstrasse 19"	"zelgstrasse 19"
"dob utca 11."	"dob utca 11."
"evrenseki mevkii"	"evrenseki mevkii"
"selimiye mah. sarmasik sk. no39"	"evrenseki mevkii"
"via roma 77"	"via roma 77"
"dr. nuhr platz 1"	"michelbeuerngasse"
"gertrude frohlich sandner strae 15"	"michelbeuerngasse"
"michelbeuerngasse"	"michelbeuerngasse"
"10 arlberg street"	"10 arlberg street"
"3 bells gully road"	"10 arlberg street"
"myrvagen 47"	"myrvagen 47"
"stenbrohult bjorkelund 1"	"myrvagen 47"
"s nvilamouraquarteira8125 406portugal"	"s nvilamouraquarteira8125 406portugal"
"r. vila melhorada 101"	"s nvilamouraquarteira8125 406portugal"
"13 rua doutor almada guerra"	"s nvilamouraquarteira8125 406portugal"
"6 homepride ave"	"142 146 melville street"
"142 146 melville street"	"142 146 melville street"
"via galvani 9"	"via galvani 11"
"wolfsbruch 3"	"im wolfsbruch 3"
"via emilia 42"	"viale aldo moro 4"
"91/12 moo.4 old city muang"	"420 moo 2 t.muangkao a.muang"
"elli chora naxou"	"elli chora naxou"
"agios prokopios"	"elli chora naxou"
"kisumu busia road miriu street"	"kisumu busia road miriu street"
"linkstrae 10 14"	"linkstrae 10 14"
"thorngumbald rd"	"thorngumbald rd"
